train_loss,train_latent_loss,cosine_sim,z_hat_norm,z_true_norm,lr,epoch,grad_norm_encoder,grad_norm_predictor,grad_norm_embedding,grad_norm_total,step
12.845434188842773,2.012561321258545,-0.0070355236530303955,15.989076614379883,15.998924255371094,0.00029999207857572027,0,17.089359164237976,10.342136442661285,1.264938771724701,33.14459603279829,0
8.903397560119629,1.0009537935256958,0.5058508515357971,15.995388984680176,15.998701095581055,0.00029904263198071365,0,0.29321370302932337,0.5211131736495693,0.09366345778107643,15.141169105095246,1
8.316896438598633,0.9873238205909729,0.5239652991294861,15.993349075317383,15.99846076965332,0.00029652165808208037,0,0.168854572577402,0.4293964448541875,0.10550408810377121,24.459327478815663,2
7.398780822753906,0.9851092100143433,0.551690399646759,15.991918563842773,15.998298645019531,0.00029245871299383346,1,0.12172862223293221,0.3428263545263438,0.05724853090941906,11.700902248691426,3
7.039917945861816,0.9922420978546143,0.5667722225189209,15.985177993774414,15.998634338378906,0.00028690143103234653,1,0.10037368811026681,0.29093159422289827,0.039188969880342484,5.873855837940469,4
6.601670742034912,0.9790067672729492,0.644315242767334,15.975563049316406,15.99932861328125,0.00027991496624754674,1,0.08431116567226127,0.2804603919060281,0.04145717993378639,5.896666242929579,5
6.5692853927612305,1.0025224685668945,0.6505224108695984,15.976163864135742,16.000213623046875,0.00027158122855124993,2,0.061739745775420754,0.21057937915016545,0.046729885041713715,6.230809286503808,6
6.351406097412109,1.0008636713027954,0.5691083669662476,15.976255416870117,16.00177764892578,0.00026199792339833596,2,0.06541325368743856,0.2252685493439821,0.04283742420375347,5.305738748065723,7
6.41371488571167,1.0087947845458984,0.5509250164031982,15.97628402709961,16.001968383789062,0.00025127740627962393,2,0.05195523225120269,0.18602381090805664,0.041939834132790565,5.337327231304346,8
6.1039958000183105,0.9901518821716309,0.5073378682136536,15.975969314575195,16.003799438476562,0.0002395453654564679,3,0.047658476389187854,0.16667174788781047,0.046533310785889626,5.8958795201764564,9
6.265956401824951,1.010900855064392,0.6144199967384338,15.969647407531738,16.0049991607666,0.00022693934838081246,3,0.04631591978977667,0.16823390272231586,0.04203669913113117,6.002845254447786,10
6.15079927444458,1.0012297630310059,0.6768366694450378,15.96651554107666,16.0058536529541,0.0002136071490770783,3,0.03617085961741395,0.1400924322478594,0.04439894109964371,5.510763856884244,11
5.997215747833252,0.9964653253555298,0.6733072996139526,15.9660062789917,16.00701141357422,0.00019970507539235558,4,0.039170708230813034,0.13697252668064097,0.040802961215376854,5.475151556743388,12
6.172635078430176,1.0012998580932617,0.6827896237373352,15.96565055847168,16.00822639465332,0.00018539611642981056,4,0.0310647052974673,0.1103749698784926,0.0346809271723032,4.860372533262151,13
6.215485572814941,0.999840259552002,0.6393945813179016,15.964654922485352,16.00959587097168,0.00017084803165047307,4,0.0358185627264902,0.13549564572810346,0.04099395126104355,5.684780929447759,14
6.066234588623047,1.0019633769989014,0.6235105991363525,15.964319229125977,16.012086868286133,0.00015623138404694014,5,0.03027792436478194,0.10925309188508125,0.0448045264929533,6.236656945040638,15
5.983943462371826,0.998081624507904,0.6447736620903015,15.963972091674805,16.013492584228516,0.00014171754044823486,5,0.030520202810293995,0.10777238283734958,0.04021298885345459,5.285218141655417,16
6.035826683044434,1.0014455318450928,0.6121238470077515,15.963714599609375,16.014026641845703,0.00012747666240041827,5,0.02880608719351585,0.10384738857368991,0.04399976320564747,6.215308556477743,17
5.794040679931641,0.9985753893852234,0.5918772220611572,15.963521957397461,16.01726531982422,0.00011367571117804198,6,0.026884986880759243,0.1033993361907326,0.03878120146691799,5.886915491026257,18
5.901945114135742,1.00213623046875,0.5819870233535767,15.96352767944336,16.016796112060547,0.00010047649031585842,6,0.03139244186604628,0.10737743433182445,0.04253448732197285,6.170484607617795,19
5.698294639587402,0.9975411295890808,0.5994475483894348,15.963848114013672,16.018428802490234,8.803374861031392e-05,6,0.023351740765065188,0.08302415892687759,0.03860604017972946,5.615066996777773,20
5.881730079650879,0.9969203472137451,0.5958178043365479,15.963618278503418,16.020233154296875,7.649336583139874e-05,7,0.02043913330635405,0.07623291888834055,0.03707786090672016,5.549499266487178,21
5.269292831420898,0.997948408126831,0.5723723769187927,15.963881492614746,16.022422790527344,6.599064241572314e-05,7,0.021806874887261074,0.07987427750564313,0.03944774717092514,5.601572030345471,22
5.798937797546387,0.999331533908844,0.5740770697593689,15.964019775390625,16.02300262451172,5.664871319260422e-05,7,0.0200932768311759,0.07447775650839517,0.03893600031733513,5.65185385898044,23
5.769803047180176,0.9995307922363281,0.5694717168807983,15.96422290802002,16.02442169189453,4.8577103740775796e-05,8,0.01957830524406745,0.07477705915495014,0.0358408447355032,5.942556446836317,24
5.667205333709717,1.0035429000854492,0.567112147808075,15.96352767944336,16.025081634521484,4.187044630111761e-05,8,0.018791637772665126,0.06701024299328989,0.038889629766345024,5.806978833209739,25
6.189751625061035,1.0034289360046387,0.577880322933197,15.963363647460938,16.0257568359375,3.6607370300154306e-05,8,0.049757819826481864,0.181036055518902,0.5240766406059265,18.400374538096216,26
5.738237380981445,1.0010582208633423,0.5625205039978027,15.964282035827637,16.027334213256836,3.284958049192086e-05,9,0.019006769831321435,0.06562510452496378,0.03950379975140095,6.165666223546589,27
5.670845031738281,0.9996026158332825,0.5538346767425537,15.963910102844238,16.028284072875977,3.0641133526138836e-05,9,0.017179443366330815,0.06442458963397169,0.03619677200913429,5.472134813074489,28
